weight,weight_name,global_step,update,episode,episode_length,scalarized_return,return_obj_0,return_obj_1
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,1000,1,0,1000,-2808.418020587151,-138.26467483770102,-3105.1018076986074
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,2000,2,1,1000,-2758.196836655564,28.310870427827467,-3067.808885425329
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,3000,3,2,1000,-2698.1725234953983,115.20505867269821,-3010.7701125741005
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,4000,4,3,1000,-2767.3478238288444,15.049281576895737,-3076.5031392872334
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,5000,5,4,1000,-2720.7276682945753,51.75042837229557,-3028.7808704674244
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,6000,6,5,1000,-2774.518406638572,-213.87195603147848,-3059.0347596108913
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,7000,7,6,1000,-2747.3102317924677,-100.00841669682995,-3041.454958319664
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,8000,8,7,1000,-2737.908103815102,-46.81938588805497,-3036.9180417358875
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,9000,9,8,1000,-2725.3671748994593,-25.64964381820755,-3025.335869565606
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,10000,10,9,1000,-2740.593565899169,-6.9781254277331755,-3044.328695476055
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,11000,11,10,1000,-2687.773796861746,-22.43772962548246,-2983.922327786684
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,12000,12,11,1000,-2645.2737825764884,-72.70519766275538,-2931.1148139834404
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,13000,13,12,1000,-2704.50479020519,-42.90248151420383,-3000.238459467888
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,14000,14,13,1000,-2697.6588181886277,19.82286757741531,-2999.6013072133064
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,15000,15,14,1000,-2675.08378902297,-261.9768208981259,-2943.20686301589
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,16000,16,15,1000,-2711.8657418541097,-164.84032896196004,-2994.8686445727944
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,17000,17,16,1000,-2665.981334629075,15.106697547453223,-2963.880083411932
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,18000,18,17,1000,-2682.3804275592424,-40.54948472197998,-2975.917277753353
"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,19000,19,18,1000,-2717.28438608664,-327.33700001430407,-2982.8341741263866
"[0.5, 0.5]",w_0p50_0p50,1000,1,0,1000,-1561.597768768665,-37.649332553141676,-3085.546204984188
"[0.5, 0.5]",w_0p50_0p50,2000,2,1,1000,-1542.926115271228,-46.84675269678701,-3039.005477845669
"[0.5, 0.5]",w_0p50_0p50,3000,3,2,1000,-1549.0490486448398,-12.651960390387103,-3085.4461368992925
"[0.5, 0.5]",w_0p50_0p50,4000,4,3,1000,-1528.6825532045314,35.35214715672555,-3092.7172535657883
"[0.5, 0.5]",w_0p50_0p50,5000,5,4,1000,-1576.3411860620836,-80.83424121257849,-3071.8481309115887
"[0.5, 0.5]",w_0p50_0p50,6000,6,5,1000,-1574.5941400575975,-59.753344724245835,-3089.4349353909492
"[0.5, 0.5]",w_0p50_0p50,7000,7,6,1000,-1525.5641689585173,14.989243331248872,-3066.1175812482834
"[0.5, 0.5]",w_0p50_0p50,8000,8,7,1000,-1628.4439353080234,-180.55300129088573,-3076.334869325161
"[0.5, 0.5]",w_0p50_0p50,9000,9,8,1000,-1566.5181481769541,-64.34238334116526,-3068.693913012743
"[0.5, 0.5]",w_0p50_0p50,10000,10,9,1000,-1583.05980333552,-100.31659051508177,-3065.803016155958
"[0.5, 0.5]",w_0p50_0p50,11000,11,10,1000,-1503.233018897823,41.022650986211374,-3047.4886887818575
"[0.5, 0.5]",w_0p50_0p50,12000,12,11,1000,-1486.3740736802283,4.238773175107781,-2976.9869205355644
"[0.5, 0.5]",w_0p50_0p50,13000,13,12,1000,-1544.9182355752419,-91.84948344048462,-2997.986987709999
"[0.5, 0.5]",w_0p50_0p50,14000,14,13,1000,-1506.829403832322,19.627632201183587,-3033.2864398658276
"[0.5, 0.5]",w_0p50_0p50,15000,15,14,1000,-1564.4739243501244,-102.11119361993042,-3026.8366550803185
"[0.5, 0.5]",w_0p50_0p50,16000,16,15,1000,-1500.445229318735,-15.532069438690087,-2985.35838919878
"[0.5, 0.5]",w_0p50_0p50,17000,17,16,1000,-1551.7111643574026,-97.50749212928349,-3005.9148365855217
"[0.5, 0.5]",w_0p50_0p50,18000,18,17,1000,-1579.7560363196626,-152.51963721380548,-3006.99243542552
"[0.5, 0.5]",w_0p50_0p50,19000,19,18,1000,-1560.4589325683191,-140.18238348700106,-2980.735481649637
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,1000,1,0,1000,-374.2184716570315,-67.94111623952631,-3130.7146399617195
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,2000,2,1,1000,-196.04172917238904,128.06456255330704,-3112.998277783394
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,3000,3,2,1000,-367.93701239617974,-63.17050145484973,-3110.835579574108
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,4000,4,3,1000,-368.91497232881676,-66.34981367882574,-3092.001369923353
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,5000,5,4,1000,-352.8202783701629,-47.97644830588251,-3096.4147142469883
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,6000,6,5,1000,-318.39773400953885,-10.534551009419374,-3089.166337490082
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,7000,7,6,1000,-374.5286636910073,-69.621006956786,-3118.697544425726
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,8000,8,7,1000,-293.72522398233326,17.048951240838505,-3090.6927508711815
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,9000,9,8,1000,-313.48957845861503,0.32278113067150116,-3137.800767928362
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,10000,10,9,1000,-463.6096838175912,-162.40235828681034,-3174.4756050109863
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,11000,11,10,1000,-354.05063112699327,-44.34584447128145,-3141.393674790859
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,12000,12,11,1000,-265.81570109061676,47.26632637823059,-3083.553891092539
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,13000,13,12,1000,-404.0386591736939,-97.0494907865068,-3166.9411506056786
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,14000,14,13,1000,-273.7349225009006,44.34204964549281,-3136.4276145100594
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,15000,15,14,1000,-356.2465026973205,-44.879740528645925,-3158.547325849533
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,16000,16,15,1000,-296.41172408659014,8.910891088453354,-3044.315213173628
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,17000,17,16,1000,-238.73825326815853,78.91895778750768,-3097.6530877947807
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,18000,18,17,1000,-352.1158820237646,-48.25845519872382,-3086.832688957453
"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,19000,19,18,1000,-255.65861013832094,58.24233122108433,-3080.7670225799084
