weight,weight_name,global_step,update,episode,episode_length,scalarized_return,return_obj_0,return_obj_1
"[0.0, 1.0]",w_0p00_1p00,1000,1,0,1000,-3108.328169822693,-4.624306312005501,-3108.328169822693
"[0.0, 1.0]",w_0p00_1p00,2000,1,1,1000,-3045.751545086503,-19.658825059479568,-3045.751545086503
"[0.0, 1.0]",w_0p00_1p00,3000,2,2,1000,-3029.688890814781,39.663915723212995,-3029.688890814781
"[0.0, 1.0]",w_0p00_1p00,4000,2,3,1000,-3055.0977075994015,0.7038848625379615,-3055.0977075994015
"[0.0, 1.0]",w_0p00_1p00,5000,3,4,1000,-3024.9717629253864,19.594368852092884,-3024.9717629253864
"[0.0, 1.0]",w_0p00_1p00,6000,3,5,1000,-2956.8058464303613,-31.55928380554542,-2956.8058464303613
"[0.0, 1.0]",w_0p00_1p00,7000,4,6,1000,-2981.601561099291,-29.434582923306152,-2981.601561099291
"[0.0, 1.0]",w_0p00_1p00,8000,4,7,1000,-2930.609683841467,-39.508899771171855,-2930.609683841467
"[0.0, 1.0]",w_0p00_1p00,9000,5,8,1000,-2999.8708825409412,-65.44408000539988,-2999.8708825409412
"[0.0, 1.0]",w_0p00_1p00,10000,5,9,1000,-2913.1186330020428,-191.97048265777994,-2913.1186330020428
"[0.0, 1.0]",w_0p00_1p00,11000,6,10,1000,-2913.074468165636,-318.1114229464438,-2913.074468165636
"[0.0, 1.0]",w_0p00_1p00,12000,6,11,1000,-2934.7508721351624,54.03900479726144,-2934.7508721351624
"[0.0, 1.0]",w_0p00_1p00,13000,7,12,1000,-2896.047519773245,17.846070210855032,-2896.047519773245
"[0.0, 1.0]",w_0p00_1p00,14000,7,13,1000,-2851.260495722294,-69.30297288189468,-2851.260495722294
"[0.0, 1.0]",w_0p00_1p00,15000,8,14,1000,-2819.7940133810043,-66.9103857333539,-2819.7940133810043
"[0.0, 1.0]",w_0p00_1p00,16000,8,15,1000,-2749.8060949742794,-34.53292712262919,-2749.8060949742794
"[0.0, 1.0]",w_0p00_1p00,17000,9,16,1000,-2785.1374652683735,-0.5675973628240172,-2785.1374652683735
"[0.0, 1.0]",w_0p00_1p00,18000,9,17,1000,-2714.474169820547,-80.9630020376062,-2714.474169820547
"[0.0, 1.0]",w_0p00_1p00,19000,10,18,1000,-2644.9584712535143,-95.10947129118722,-2644.9584712535143
"[0.0, 1.0]",w_0p00_1p00,20000,10,19,1000,-2630.1708928644657,-153.64437202637782,-2630.1708928644657
"[0.0, 1.0]",w_0p00_1p00,21000,11,20,1000,-2619.3328417539597,-115.66896710192668,-2619.3328417539597
"[0.0, 1.0]",w_0p00_1p00,22000,11,21,1000,-2618.6189492046833,-123.11573168437462,-2618.6189492046833
"[0.0, 1.0]",w_0p00_1p00,23000,12,22,1000,-2579.1900388151407,-274.92760228342377,-2579.1900388151407
"[0.0, 1.0]",w_0p00_1p00,24000,12,23,1000,-2496.3868943601847,-40.070365637599025,-2496.3868943601847
"[0.0, 1.0]",w_0p00_1p00,25000,13,24,1000,-2502.25241497159,11.198669480159879,-2502.25241497159
"[0.0, 1.0]",w_0p00_1p00,26000,13,25,1000,-2419.515567302704,-113.29488333174959,-2419.515567302704
"[0.0, 1.0]",w_0p00_1p00,27000,14,26,1000,-2437.5060668587685,34.244320578407496,-2437.5060668587685
"[0.0, 1.0]",w_0p00_1p00,28000,14,27,1000,-2346.029687345028,-123.03052754508099,-2346.029687345028
"[0.0, 1.0]",w_0p00_1p00,29000,15,28,1000,-2287.0516749843955,33.93633499473799,-2287.0516749843955
"[0.0, 1.0]",w_0p00_1p00,30000,15,29,1000,-2305.6543605327606,-183.65818456173292,-2305.6543605327606
"[0.0, 1.0]",w_0p00_1p00,31000,16,30,1000,-2269.900388300419,-67.87742710116436,-2269.900388300419
"[0.0, 1.0]",w_0p00_1p00,32000,16,31,1000,-2316.127264276147,-53.807973205694,-2316.127264276147
"[0.0, 1.0]",w_0p00_1p00,33000,17,32,1000,-2280.566782325506,19.485558034735732,-2280.566782325506
"[0.0, 1.0]",w_0p00_1p00,34000,17,33,1000,-2113.3746851682663,7.571384374808986,-2113.3746851682663
"[0.0, 1.0]",w_0p00_1p00,35000,18,34,1000,-2199.8375549018383,-62.79364677058766,-2199.8375549018383
