checkpoint,weight,weight_name,eval_episodes,mean_scalarized_return,std_scalarized_return,mean_episode_length,mean_obj_0,mean_obj_1,std_obj_0,std_obj_1,run_dir,seed,env_id
w_0p00_1p00.pt,"[0.0, 1.0]",w_0p00_1p00,5,-19.11905465880409,0.0620401689556631,1000.0,-0.0720412551132603,-19.11905465880409,0.4899120743090152,0.0620401689556631,multi_objective_ppo/results/report_halfcheetah_seed_0,0,mo-halfcheetah-v5
w_0p25_0p75.pt,"[0.25, 0.75]",w_0p25_0p75,5,-11.29141674485069,0.248731314689486,1000.0,-0.3799100710921799,-14.928585636103524,0.3498264273836244,0.2533167498986014,multi_objective_ppo/results/report_halfcheetah_seed_0,0,mo-halfcheetah-v5
w_0p50_0p50.pt,"[0.5, 0.5]",w_0p50_0p50,5,-89.06285512195899,1.711437260435898,1000.0,-34.92181492615491,-143.20389531776308,3.487579133326712,1.28931420828148,multi_objective_ppo/results/report_halfcheetah_seed_0,0,mo-halfcheetah-v5
w_0p75_0p25.pt,"[0.75, 0.25]",w_0p75_0p25,5,1.7777325418836083,5.63432822205175,1000.0,187.13461740228811,-554.29292203933,9.181405241626068,7.003495322687391,multi_objective_ppo/results/report_halfcheetah_seed_0,0,mo-halfcheetah-v5
w_1p00_0p00.pt,"[1.0, 0.0]",w_1p00_0p00,5,714.678108954498,159.0794405272884,1000.0,714.678108954498,-1986.1605866789816,159.0794405272884,362.0575820237512,multi_objective_ppo/results/report_halfcheetah_seed_0,0,mo-halfcheetah-v5
w_0p00_1p00.pt,"[0.0, 1.0]",w_0p00_1p00,5,-13.25899336724542,0.0735760950723127,1000.0,-0.2288943882528987,-13.25899336724542,0.5944882470098772,0.0735760950723127,multi_objective_ppo/results/report_halfcheetah_seed_1,1,mo-halfcheetah-v5
w_0p25_0p75.pt,"[0.25, 0.75]",w_0p25_0p75,5,-46.60328613122984,0.1917884456784259,1000.0,11.362864065577742,-65.92533619683236,0.5063603909615388,0.2476674731606954,multi_objective_ppo/results/report_halfcheetah_seed_1,1,mo-halfcheetah-v5
w_0p50_0p50.pt,"[0.5, 0.5]",w_0p50_0p50,5,143.69423834279297,2.353554226479489,1000.0,465.4857749487856,-178.09729826319963,4.163419964496223,1.1582858301481282,multi_objective_ppo/results/report_halfcheetah_seed_1,1,mo-halfcheetah-v5
w_0p75_0p25.pt,"[0.75, 0.25]",w_0p75_0p25,5,-64.53514571597607,39.21150037626021,1000.0,47.62315631257006,-401.01005180161445,40.382586339212914,170.45677281126905,multi_objective_ppo/results/report_halfcheetah_seed_1,1,mo-halfcheetah-v5
w_1p00_0p00.pt,"[1.0, 0.0]",w_1p00_0p00,5,237.44509847353328,94.63071783287678,1000.0,237.44509847353328,-1524.8886983066798,94.63071783287678,14.64427121665665,multi_objective_ppo/results/report_halfcheetah_seed_1,1,mo-halfcheetah-v5
w_0p00_1p00.pt,"[0.0, 1.0]",w_0p00_1p00,5,-20.464300893433396,0.0528714892981169,1000.0,-0.302715606696644,-20.464300893433396,0.6189433222356581,0.0528714892981169,multi_objective_ppo/results/report_halfcheetah_seed_2,2,mo-halfcheetah-v5
w_0p25_0p75.pt,"[0.25, 0.75]",w_0p25_0p75,5,-5.420682862108787,0.1005456901910559,1000.0,-0.3442924189334008,-7.112813009833917,0.3861260734490576,0.0790350188394451,multi_objective_ppo/results/report_halfcheetah_seed_2,2,mo-halfcheetah-v5
w_0p50_0p50.pt,"[0.5, 0.5]",w_0p50_0p50,5,163.96959001233262,8.70503943344476,1000.0,573.8997934159343,-245.960613391269,20.997797428389536,7.121879877042519,multi_objective_ppo/results/report_halfcheetah_seed_2,2,mo-halfcheetah-v5
w_0p75_0p25.pt,"[0.75, 0.25]",w_0p75_0p25,5,-71.54867772884644,20.08353050558919,1000.0,68.03630307793647,-490.3036201491952,28.06217194923033,4.432426912266516,multi_objective_ppo/results/report_halfcheetah_seed_2,2,mo-halfcheetah-v5
w_1p00_0p00.pt,"[1.0, 0.0]",w_1p00_0p00,5,435.19423128247433,152.2308187025649,1000.0,435.19423128247433,-1915.7930039167404,152.2308187025649,67.59052826834699,multi_objective_ppo/results/report_halfcheetah_seed_2,2,mo-halfcheetah-v5
