weight,weight_name,global_step,update,episode,episode_length,scalarized_return,return_obj_0,return_obj_1
"[0.0, 1.0]",w_0p00_1p00,1000,1,0,1000,-3060.8583929240704,-130.28226431668736,-3060.8583929240704
"[0.0, 1.0]",w_0p00_1p00,2000,1,1,1000,-3077.4891309142113,-29.024684123927727,-3077.4891309142113
"[0.0, 1.0]",w_0p00_1p00,3000,2,2,1000,-3037.626636058092,-6.219567358446511,-3037.626636058092
"[0.0, 1.0]",w_0p00_1p00,4000,2,3,1000,-3052.232117533684,-166.40077621972887,-3052.232117533684
"[0.0, 1.0]",w_0p00_1p00,5000,3,4,1000,-3035.4593203514814,-35.18427514779614,-3035.4593203514814
"[0.0, 1.0]",w_0p00_1p00,6000,3,5,1000,-3020.2657235860825,-37.720866369549185,-3020.2657235860825
"[0.0, 1.0]",w_0p00_1p00,7000,4,6,1000,-2962.671735405922,13.186537493485957,-2962.671735405922
"[0.0, 1.0]",w_0p00_1p00,8000,4,7,1000,-3001.6925936341286,-40.09392745606601,-3001.6925936341286
"[0.0, 1.0]",w_0p00_1p00,9000,5,8,1000,-2969.4284483492374,-117.46448040171526,-2969.4284483492374
"[0.0, 1.0]",w_0p00_1p00,10000,5,9,1000,-2939.5039713084698,-17.528949944098713,-2939.5039713084698
"[0.0, 1.0]",w_0p00_1p00,11000,6,10,1000,-2914.948752090335,35.473857596647576,-2914.948752090335
"[0.0, 1.0]",w_0p00_1p00,12000,6,11,1000,-2903.141324698925,-34.610618716920726,-2903.141324698925
"[0.0, 1.0]",w_0p00_1p00,13000,7,12,1000,-2816.353556111455,68.1922855610901,-2816.353556111455
"[0.0, 1.0]",w_0p00_1p00,14000,7,13,1000,-2778.1786427795887,-81.11728155568562,-2778.1786427795887
"[0.0, 1.0]",w_0p00_1p00,15000,8,14,1000,-2774.49145745486,-164.39134510792792,-2774.49145745486
"[0.0, 1.0]",w_0p00_1p00,16000,8,15,1000,-2742.2489906325936,8.351868296245812,-2742.2489906325936
"[0.0, 1.0]",w_0p00_1p00,17000,9,16,1000,-2753.4702811539173,93.08992411123472,-2753.4702811539173
"[0.0, 1.0]",w_0p00_1p00,18000,9,17,1000,-2737.8983460962772,-48.216450682783034,-2737.8983460962772
"[0.0, 1.0]",w_0p00_1p00,19000,10,18,1000,-2747.3779923915863,100.24257857888006,-2747.3779923915863
"[0.0, 1.0]",w_0p00_1p00,20000,10,19,1000,-2692.7463304400444,-106.8784050741233,-2692.7463304400444
"[0.0, 1.0]",w_0p00_1p00,21000,11,20,1000,-2637.1603439450264,-28.204716551641468,-2637.1603439450264
"[0.0, 1.0]",w_0p00_1p00,22000,11,21,1000,-2577.394083186984,-111.34459605551092,-2577.394083186984
"[0.0, 1.0]",w_0p00_1p00,23000,12,22,1000,-2586.924961745739,-41.84103951015277,-2586.924961745739
"[0.0, 1.0]",w_0p00_1p00,24000,12,23,1000,-2595.9704642146826,90.62873005162692,-2595.9704642146826
"[0.0, 1.0]",w_0p00_1p00,25000,13,24,1000,-2552.004265666008,-20.78415934152872,-2552.004265666008
