individual,eval_episodes,mean_episode_length,mean_obj_0,mean_obj_1,mean_obj_2,mean_sum_return,is_nondominated
0,2,45.5,59.06727707386017,19.16786253452301,40.680873680859804,118.91601328924298,False
1,2,55.0,97.32277047634125,39.01216506958008,50.77827097103,187.11320651695132,True
2,2,39.5,63.429351925849915,30.071069486439228,36.04496271535754,129.54538412764668,False
3,2,48.0,75.76625978946686,27.040358275175095,45.681282211095095,148.48790027573705,False
4,2,57.5,27.572091281414032,31.927597373723984,46.90366832911968,106.4033569842577,False
5,2,44.0,13.633262783288956,26.229238361120224,40.00864778459072,79.8711489289999,False
6,2,43.0,22.890220791101456,25.579051077365875,35.28240196406841,83.75167383253574,False
7,2,38.5,49.13261765241623,21.508519917726517,33.938735362142324,104.57987293228507,False
8,2,35.0,56.857007801532745,29.059517291141674,28.64030948281288,114.5568345754873,False
9,2,35.0,56.92364174127579,29.714732389897108,29.836944952607155,116.47531908378005,False
