individual,rank,ref_index,ref_distance,episode_length,train_obj_0,train_obj_1,train_obj_2
0,0,3,0.0,128.0,228.86986207962036,-121.22881215810776,118.60958573967218
1,0,4,0.2184522250415037,54.0,94.59348905086517,39.009295761585236,49.902474623173475
2,1,4,0.2785906771258291,41.0,65.99250054359436,32.02133974432945,37.474766448140144
3,1,4,0.286820885190396,48.0,75.2948077917099,26.438931703567505,45.67557140439749
4,1,7,0.25965340988913005,58.0,28.042712926864624,31.847582042217255,47.45689444243908
5,2,7,0.30671456667303226,44.0,13.810380637645721,25.897373855113983,40.06140452623367
6,2,7,0.3596801393554818,44.0,23.72036761045456,26.27758699655533,36.216474801301956
7,2,4,0.3414301136192766,39.0,49.81960332393646,22.390247762203217,34.36860999464989
8,2,4,0.27373915756303846,35.0,56.79033941030502,30.59199719876051,28.10743337869644
9,2,4,0.28161468341968093,35.0,56.892968237400055,30.105557575821877,29.80727020651102
