individual,eval_episodes,mean_episode_length,mean_obj_0,mean_obj_1,mean_obj_2,mean_sum_return,is_nondominated
0,6,500.0,509.0942871371905,286.41501401861507,367.09393142660457,1162.60323258241,True
1,6,500.0,508.88538005948067,286.5650235712528,481.3249185880025,1276.775322218736,True
2,6,494.6666666666667,520.0208785397311,262.58447829882306,398.21260625869036,1180.8179630972445,False
3,6,500.0,527.6778195599715,218.4467178583145,452.88151465853053,1199.0060520768166,True
4,6,500.0,519.806196898222,271.2606591582298,444.91873783866566,1235.9855938951175,True
5,6,376.6666666666667,400.193685601155,583.1825297673544,171.12658220529556,1154.5027975738049,True
6,6,500.0,521.7482370038828,271.71073700984317,329.3662919004758,1122.8252659142017,True
7,6,500.0,494.12781767050427,288.72114510337514,432.67630446950596,1215.5252672433853,True
8,6,500.0,538.1179452737173,75.29457305868466,436.8196829756101,1050.232201308012,True
9,6,497.5,469.40703802307445,260.3553240299225,482.96398892595124,1212.7263509789482,True
10,6,500.0,537.9555315872034,90.12476148207982,436.2800753513972,1064.3603684206805,True
11,6,500.0,514.6525673468908,280.7470209201177,418.7651356657346,1214.164723932743,True
12,6,500.0,521.1343754728636,273.71831089258194,352.04351927836734,1146.896205643813,True
13,6,500.0,498.07392798860866,289.5831096569697,400.73935559391975,1188.3963932394981,False
14,6,500.0,530.7574745416641,157.36522280176482,415.2753104368846,1103.3980077803135,True
15,6,500.0,514.8696740865707,281.24902775883675,378.1398186882337,1174.258520533641,True
16,6,500.0,520.1939501861731,273.7115218639374,401.28966874877614,1195.1951407988865,True
17,6,500.0,525.0918308099111,232.25116157531738,460.413177182277,1217.7561695675056,True
18,6,500.0,520.9848517477512,273.3389530777931,402.4484673142433,1196.7722721397877,True
19,6,500.0,507.18529544274014,287.378011872371,422.95075048009556,1217.5140577952068,True
20,6,500.0,507.2094316283862,287.6976789633433,382.19585807124776,1177.1029686629772,True
21,6,500.0,502.5984679063161,289.5933017730713,418.92223170399666,1211.114001383384,True
22,6,500.0,534.7282516956329,123.35141475001971,425.6249135732651,1083.7045800189176,True
23,6,476.0,502.8537062605222,252.5398668150107,248.40964154402414,1003.803214619557,False
24,6,500.0,515.931149482727,280.13936603069305,266.23367738723755,1062.3041929006577,True
25,6,464.0,488.53051367402077,265.16912851730984,377.16271337866783,1130.8623555699985,False
26,6,500.0,504.97673330704373,296.0960932771365,349.1806937555472,1150.2535203397274,True
27,6,500.0,518.8999115626017,275.80779098471004,242.52456067005792,1037.2322632173698,True
28,6,500.0,509.45602479577065,289.39085512359935,342.4693167905013,1141.3161967098713,True
29,6,500.0,510.7373042901357,282.51975679397583,415.6732721229394,1208.9303332070508,True
30,6,500.0,511.22348578770954,287.336409052213,358.6586329440276,1157.21852778395,True
31,6,500.0,506.66615582505864,294.95461971561116,325.32208916544914,1126.942864706119,True
32,6,500.0,506.97008895874023,288.7921765546004,371.3921267390251,1167.1543922523658,True
33,6,500.0,515.7427911063036,279.4605435828368,402.8301891684532,1198.0335238575935,True
34,6,500.0,507.1468473672867,287.0731429358323,373.43399586280185,1167.6539861659207,False
35,6,500.0,504.1461048424244,288.76444602012634,403.45794049898785,1196.3684913615386,True
