individual,rank,ref_index,ref_distance,episode_length,train_obj_0,train_obj_1,train_obj_2
0,0,18,0.009132062876012306,500.0,508.9675579369068,286.08674013614655,367.30438151955605
1,0,25,0.05779509488857124,500.0,508.96367102861404,285.8883801102638,481.34545597434044
2,0,12,0.05928712453379665,500.0,524.253777384758,267.6199726462364,404.04895809292793
3,0,13,0.03319864679885923,500.0,527.9579853415489,217.62732756137848,453.19479191303253
4,0,19,0.0628239577433121,500.0,519.7649240195751,273.1572015285492,444.4905261993408
5,0,0,0.05565985159953075,500.0,535.0691816210747,787.7652209699154,229.90434232354164
6,0,11,0.09654754108250098,500.0,520.6507413685322,273.23631206154823,330.3773587048054
7,0,24,0.026749167804456724,500.0,493.83830669522285,287.9797320961952,433.14132809638977
8,0,6,0.022231191074083435,500.0,538.6909433603287,72.48608648777008,437.1071401834488
9,0,29,0.016696512438279788,500.0,473.6213890016079,266.2342038154602,485.45928835868835
10,0,6,0.02835593859517692,500.0,538.2595862448215,87.94143837690353,436.6442365050316
11,0,19,0.09230014870916887,500.0,517.0066640377045,279.49122458696365,417.01169642806053
12,0,11,0.15214805666009282,500.0,521.4025987386703,272.67345997691154,352.366566747427
13,0,24,0.11788185765524162,500.0,497.7940880358219,289.6999351680279,400.75689721107483
14,0,13,0.11716459296693106,500.0,531.5052936673164,155.1736140847206,415.5513050854206
15,0,18,0.10393954479444843,500.0,515.9514556229115,279.90356317162514,378.1425224542618
16,0,12,0.091391581619328,500.0,521.4299870729446,271.0847953259945,401.98602232337
17,0,13,0.07195912289960868,500.0,525.8143860697746,231.056769490242,460.5904910862446
18,0,12,0.07138426022108524,500.0,522.8384284675121,271.67286482453346,401.7268389761448
19,0,19,0.11848648770404398,500.0,508.22498801350594,286.49217891693115,423.48310989141464
20,0,18,0.061894249031555174,500.0,506.4397021532059,291.0914893746376,380.8286549448967
21,0,24,0.11957830443702801,500.0,503.2022134065628,289.4412108361721,418.52698254585266
22,0,6,0.09337495116220187,500.0,535.3639473319054,121.69386792182922,425.5544988811016
23,0,11,0.1586288936170282,500.0,513.6519010066986,284.15889009833336,269.4087441265583
24,0,11,0.13499400945158896,500.0,516.0587201714516,280.54030561447144,266.1245818734169
25,0,19,0.12060936709099034,500.0,520.3993639349937,279.0620718896389,415.5983533859253
26,0,18,0.07234434524363098,500.0,504.5531377196312,296.1888476908207,349.51648196578026
27,0,11,0.17316107026213814,500.0,517.3980951607227,279.4238230586052,243.9101531803608
28,0,18,0.08493190669822552,500.0,508.5326524376869,290.79248067736626,342.24466609954834
29,0,19,0.11024901505118223,500.0,510.88089540600777,282.220809340477,415.32408648729324
30,0,18,0.05625672732876598,500.0,511.46651419997215,286.0003533065319,358.56242448091507
31,0,18,0.1362269039627809,500.0,505.89768025279045,294.76620960235596,326.22255167365074
32,0,18,0.01965873221796667,500.0,507.774797976017,287.96629402041435,370.9650098979473
33,0,18,0.13254680904218433,500.0,514.479934155941,280.96362909674644,402.72862607240677
34,0,18,0.031160547970812354,500.0,507.3248344361782,287.21300119161606,373.30413669347763
35,0,18,0.15082634269827364,500.0,504.36589112877846,289.17990586161613,403.110132843256
