Ambiente,Método,Soluciones evaluadas,Soluciones no dominadas,Mejor objetivo 0,Mejor objetivo 1,HV normalizado,Mejor objetivo 2,Mejor objetivo 3
mo_ant_2obj_v5,PCN local,6,1,-28.309268787968904,-44.8827894187416,0.0518145322465041,,
mo_ant_2obj_v5,PCN MORL-Baselines,6,2,80.53919219970703,80.0726089477539,1.1006381592172456,,
mo_ant_v5,PCN local,6,5,158.9364377707243,154.74321028590202,,-53.578996927411936,
mo_ant_v5,PCN MORL-Baselines,6,6,83.8332290649414,77.7921142578125,,74.22134399414062,
mo_halfcheetah_v5,PCN local,5,2,-4.633550549360734,-281.9424258470535,0.019154251374707,,
mo_halfcheetah_v5,PCN MORL-Baselines,6,2,0.4510790109634399,-0.5464307069778442,1.102499429782464,,
mo_hopper_2obj_v5,PCN local,1,1,0.7926135361194611,8.290009507909417,0.0025,,
mo_hopper_2obj_v5,PCN MORL-Baselines,6,2,24.9219913482666,15.78944969177246,1.1018753592834676,,
mo_hopper_v5,PCN local,4,4,7.449069231748581,24.199570029973984,,3.541891396045685,
mo_hopper_v5,PCN MORL-Baselines,6,1,69.90157318115234,41.73479080200195,,67.0146484375,
mo_humanoid_v5,PCN local,1,1,234.72089996933937,214.40171913057569,1.1025,,
mo_humanoid_v5,PCN MORL-Baselines,6,1,132.35365295410156,69.04021453857422,0.0782194356927872,,
mo_reacher_v5,PCN local,6,4,21.91958922892809,19.631151410751045,,30.08693754673004,18.77453307621181
mo_reacher_v5,PCN MORL-Baselines,6,6,15.155981063842772,16.54892349243164,,16.606395721435547,16.496992111206055
mo_swimmer_v5,PCN local,1,1,-17.662673179525882,-84.11648315191269,0.0025,,
mo_swimmer_v5,PCN MORL-Baselines,6,3,4.215439319610596,-0.0772480890154838,1.1024853672486024,,
mo_walker2d_v5,PCN local,5,4,26.15135458111763,-1.4354344606399536,0.0633804134171609,,
mo_walker2d_v5,PCN MORL-Baselines,6,1,31.45742988586425,34.625858306884766,1.1025,,
