return_obj_0,return_obj_1
8.682776,-149.1304
-24.865627,-156.45476
-0.8926606,-157.41943
-4.5507684,-146.86526
-28.382961,-154.87122
-26.091404,-154.82079
4.4967246,-150.50415
5.655773,-152.30547
-8.949817,-154.80864
-18.35233,-152.3945
-12.075461,-155.04509
5.2675586,-155.33105
-3.908521,-158.49615
-17.93845,-154.5334
2.906389,-160.45583
24.51034,-162.09058
8.586652,-150.87129
-5.224826,-156.39542
-21.69653,-150.33998
10.582996,-154.39134
-7.119863,-162.11777
-7.985186,-152.33717
-11.799522,-152.01747
