return_obj_0,return_obj_1
-17.988146,-174.46169
-17.37793,-175.1875
-21.36658,-175.91953
1.0045968,-168.59424
-30.5712,-168.15941
-12.341248,-166.40804
-0.2198168,-182.14433
13.454767,-176.16591
0.07408963,-173.91153
-6.0958095,-168.77339
0.8223344,-176.99829
-27.854477,-182.80869
-25.959848,-174.90938
-3.085246,-185.36833
-10.017796,-171.82361
-33.02437,-178.95721
-13.182635,-166.88641
-25.767075,-169.3686
-16.67338,-168.57838
-43.508835,-171.6622
-24.23611,-183.83676
12.236369,-167.5837
-6.2262864,-175.6261
-34.244747,-180.46677
4.2931905,-179.77768
-15.22376,-173.45824
-12.12415,-164.99013
-3.2779398,-184.59233
-0.18229944,-180.27351
2.7818997,-166.3562
1.8702159,-182.80995
-5.7742796,-172.93655
-8.851736,-172.8235
-2.8064222,-182.04857
-14.811348,-173.43982
-10.988296,-166.45251
-22.643291,-175.75494
-6.85506,-169.1444
-13.0296755,-171.53307
18.174828,-175.0472
30.7717,-177.56268
-7.960231,-184.21902
-16.82144,-167.91898
0.47019655,-170.31851
-8.689085,-173.66832
-27.552479,-169.3714
-14.976356,-175.1679
-41.266243,-182.0548
-27.905363,-180.48328
-12.732185,-171.32875
-11.038803,-171.63731
7.5253363,-172.83516
-21.686844,-165.99927
-1.7031066,-185.46661
-6.2229085,-180.72835
3.4571419,-172.95782
-6.5192113,-176.19592
-4.221241,-171.47447
-43.725235,-178.09312
-4.48497,-172.84283
-16.377468,-174.29274
-22.352634,-171.75247
-2.8026175,-167.53555
-26.323326,-167.40663
20.224949,-172.43332
-8.740484,-174.58751
-20.809643,-167.90898
-14.449624,-174.48056
14.647249,-175.53935
-14.38599,-169.22719
12.298032,-181.3852
9.559652,-176.61821
-28.084873,-184.03015
-10.219342,-180.58423
5.878122,-164.1703
-35.91105,-188.36577
-0.46340796,-171.09236
-0.4618628,-171.80925
-29.276495,-178.88574
-10.893178,-172.44397
4.045889,-170.84218
-4.5443883,-171.10417
3.8218145,-172.1816
-2.446375,-185.2442
-3.7390141,-170.34103
-28.461988,-175.62735
5.8943295,-178.73674
-28.946259,-173.46385
-1.39595,-179.48198
-18.622486,-176.71922
19.456804,-165.75792
-17.758446,-176.0513
-22.53385,-176.18042
0.7668989,-186.10756
-20.347654,-174.64793
23.880322,-166.54564
-13.61873,-176.34346
-11.609526,-179.86324
-18.774109,-183.99127
-0.42434186,-166.5924
4.563716,-178.74797
16.299109,-170.765
-18.571234,-171.71347
8.643578,-161.1108
6.8451576,-183.37215
-26.495838,-174.83464
-33.534092,-180.69455
-33.292557,-175.4798
-15.929823,-170.8548
-17.513184,-178.8459
-46.114918,-174.18681
-39.75258,-182.2208
-15.349503,-179.2421
-25.081722,-170.7714
-2.8673804,-170.37692
-1.5825235,-176.93655
-2.0425982,-178.0176
13.195988,-182.52106
-2.2165904,-173.81165
2.3616235,-167.95573
-19.225468,-171.57593
-0.35553467,-173.22673
-10.126279,-183.25232
-3.9528403,-183.33984
-13.589161,-168.71338
28.022999,-172.86754
19.144184,-172.24484
-27.551805,-167.2512
-9.8919525,-175.85294
-9.390535,-177.39503
-2.7303166,-170.02063
-27.001768,-180.72455
-32.129486,-171.57898
17.920109,-171.05557
-20.786045,-165.18329
19.521784,-176.05296
-3.0238037,-167.2264
1.0510036,-171.97397
2.1707087,-173.40512
-10.220837,-179.52481
-21.660799,-182.46074
0.7193525,-174.22766
3.0081196,-171.85744
-25.157413,-182.14406
8.391581,-176.60316
9.268542,-181.81181
-4.805647,-179.3384
-0.75014937,-167.26639
-0.27367604,-172.1103
-6.2696037,-169.15569
6.914208,-180.84918
-24.254345,-167.84596
-9.111643,-159.20163
-35.278584,-180.96906
-15.2201395,-173.89749
12.888324,-172.16783
15.236018,-169.86755
-8.12251,-175.58243
12.20234,-177.34824
-5.2910194,-182.76483
-3.6225762,-175.23286
-15.267027,-185.21013
3.581868,-167.50914
2.5311847,-162.11244
-1.5114154,-175.13889
-15.543918,-178.11295
-12.070292,-175.43828
-19.423784,-182.5217
-2.5936518,-180.24336
-9.815962,-163.26492
-0.59146494,-172.6989
12.022931,-173.8642
9.696319,-175.43663
1.8642606,-166.59828
-3.231157,-177.18109
12.600256,-178.19402
-17.123852,-175.02278
-10.245122,-181.1526
-6.3971,-172.96443
-27.8653,-178.16232
14.233131,-175.33272
-36.774143,-171.96666
0.27982605,-172.01091
-1.4727787,-167.50285
-3.459764,-176.34238
-31.247189,-182.68443
12.304384,-177.88087
9.915475,-176.1755
22.203539,-174.70222
-0.4383592,-186.37607
-8.191635,-170.51228
5.469769,-171.47504
9.504678,-169.94379
1.9838967,-174.00215
21.516327,-171.04172
-4.655922,-178.73335
9.641257,-174.12642
-2.7135398,-165.50082
-7.302309,-165.40404
-10.359974,-166.10312
-6.9443645,-170.73033
11.656246,-175.7148
-2.0965414,-177.1993
16.520996,-185.56096
-8.953914,-170.50487
18.477474,-173.86305
-14.673523,-170.02847
11.4116,-181.77464
3.0578282,-177.79256
-31.743034,-177.32225
-9.676908,-161.69553
-8.8571205,-178.25966
0.5333285,-169.03185
-12.370134,-176.1445
-23.325718,-182.96786
18.346361,-174.59605
-1.0215219,-173.16704
-21.144196,-173.50385
-14.278254,-174.70921
-18.61801,-172.91486
-9.490778,-165.06206
-5.055599,-161.62709
-4.7168503,-161.77037
1.457781,-176.94742
13.700626,-178.86188
5.3142166,-176.66916
-25.280077,-175.19688
-14.204808,-167.13768
-23.644096,-177.03336
-25.433346,-168.72574
-31.296791,-166.43063
-5.9061213,-176.59586
2.4933078,-174.30313
22.826933,-172.17397
-19.468437,-174.24907
-13.885791,-168.09735
6.9176483,-169.61366
7.6419997,-169.28871
-14.748848,-180.53993
5.4006,-185.00742
10.22633,-178.5246
-41.23533,-171.51022
-9.380374,-176.4047
-15.5408945,-175.73737
-16.726242,-175.07465
10.298473,-165.02496
-12.954022,-179.59874
-20.053812,-174.82399
-0.12936454,-178.26852
17.886293,-169.8244
